event_id,user_id,event_type,timestamp,hour_of_day,day_of_week,is_weekend,is_anomalous,anomaly_type,ip_address,country,device,login_success,failed_attempts,timezone_gap_hours,instrument,lot_size,trade_volume,pnl,margin_used,trade_duration_seconds,trade_volume_vs_baseline,is_night_trade,amount,method,is_immediate_withdrawal,session_duration_mins,page_clicks,click_rate_per_min,kyc_change_type,account_age_days
EVT_580747,USER_0021,trade,2024-01-01 06:28:32,6,0,0,1,bot_trader,,,,,,,AUDUSD,1.94,2006.5,-92.89,1061.46,2000.0,1.005,0.0,,,,,,,,82
EVT_534166,USER_0060,session,2024-01-01 06:56:59,6,0,0,1,structurer,,,firefox_linux,,,,,,,,,,,,,,,43.5,55.0,1.26,,278
EVT_241298,USER_0505,trade,2024-01-01 07:05:40,7,0,0,0,none,,,,,,,USDCHF,1.23,7975.3,-74.86,3063.11,1756.0,1.076,1.0,,,,,,,,283
EVT_266309,USER_0258,trade,2024-01-01 07:07:27,7,0,0,0,none,,,,,,,USDCHF,1.14,9957.41,115.41,369.03,2443.0,0.836,0.0,,,,,,,,258
EVT_250268,USER_0118,trade,2024-01-01 07:07:42,7,0,0,0,none,,,,,,,ETHUSD,0.23,6391.06,324.02,2849.72,2829.0,0.699,0.0,,,,,,,,327
EVT_832229,USER_0102,trade,2024-01-01 07:11:16,7,0,0,0,none,,,,,,,GBPUSD,0.16,8533.44,-125.98,620.19,3024.0,0.459,0.0,,,,,,,,196
EVT_792299,USER_0106,trade,2024-01-01 07:24:43,7,0,0,0,none,,,,,,,USDCHF,1.95,27361.29,-34.59,1772.43,869.0,1.374,0.0,,,,,,,,361
EVT_614526,USER_0219,trade,2024-01-01 07:27:04,7,0,0,0,none,,,,,,,BTCUSD,0.05,23255.27,-58.59,3788.36,1737.0,1.083,1.0,,,,,,,,256
EVT_550691,USER_0351,session,2024-01-01 07:29:02,7,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,45.9,8.0,0.17,,225
EVT_338169,USER_0012,deposit,2024-01-01 07:29:11,7,0,0,1,device_switcher,,,,,,,,,,,,,,,2471.94,crypto,0.0,,,,,364
EVT_450187,USER_0188,deposit,2024-01-01 07:30:45,7,0,0,0,none,,,,,,,,,,,,,,,-51.38,card,0.0,,,,,172
EVT_870061,USER_0537,trade,2024-01-01 07:41:04,7,0,0,0,none,,,,,,,AUDUSD,1.33,21775.82,140.17,4639.22,383.0,0.735,0.0,,,,,,,,132
EVT_550119,USER_0553,deposit,2024-01-01 07:42:11,7,0,0,0,none,,,,,,,,,,,,,,,2248.7,crypto,0.0,,,,,343
EVT_513544,USER_0057,withdrawal,2024-01-01 07:44:46,7,0,0,1,dormant_withdrawer,,,,,,,,,,,,,,,925.91,bank,0.0,,,,,8
EVT_450281,USER_0295,trade,2024-01-01 07:46:35,7,0,0,0,none,,,,,,,XAUUSD,0.79,3473.53,27.32,917.47,225.0,0.691,0.0,,,,,,,,62
EVT_714696,USER_0079,trade,2024-01-01 08:08:51,8,0,0,1,dormant_withdrawer,,,,,,,USDJPY,0.68,8782.53,-84.79,1394.1,1262.0,1.113,0.0,,,,,,,,144
EVT_955197,USER_0186,trade,2024-01-01 08:10:29,8,0,0,0,none,,,,,,,ETHUSD,0.71,4679.26,-106.69,918.79,178.0,1.252,0.0,,,,,,,,181
EVT_891270,USER_0206,trade,2024-01-01 08:36:23,8,0,0,0,none,,,,,,,USDJPY,1.14,26477.71,-14.32,570.77,3013.0,0.927,0.0,,,,,,,,247
EVT_908442,USER_0042,deposit,2024-01-01 08:37:49,8,0,0,1,deposit_withdrawal_cycler,,,,,,,ETHUSD,0.16,8828.61,-328.05,423.45,1294.0,0.881,1.0,12314.42,crypto,1.0,,,,,59
EVT_117953,USER_0192,deposit,2024-01-01 08:40:20,8,0,0,0,none,,,,,,,,,,,,,,,2607.57,crypto,0.0,,,,,224
EVT_512454,USER_0030,deposit,2024-01-01 08:48:30,8,0,0,1,structurer,,,,,,,,,,,,,,,691.43,bank,0.0,,,,,282
EVT_940468,USER_0117,deposit,2024-01-01 09:06:54,9,0,0,0,none,,,,,,,,,,,,,,,2247.44,crypto,0.0,,,,,113
EVT_677187,USER_0589,trade,2024-01-01 09:24:54,9,0,0,0,none,,,,,,,ETHUSD,0.66,26142.47,175.06,1730.81,2732.0,1.133,0.0,,,,,,,,120
EVT_211430,USER_0488,trade,2024-01-01 09:40:53,9,0,0,0,none,,,,,,,USDCHF,0.63,16457.39,16.33,4589.76,3276.0,0.901,0.0,,,,,,,,7
EVT_534694,USER_0247,session,2024-01-01 09:41:16,9,0,0,0,none,,,android_app,,,,,,,,,,,,,,,49.8,75.0,1.51,,313
EVT_467008,USER_0568,trade,2024-01-01 09:46:42,9,0,0,0,none,,,,,,,XAUUSD,1.85,25857.61,-127.06,2505.62,1407.0,1.007,0.0,,,,,,,,141
EVT_281917,USER_0432,trade,2024-01-01 09:49:13,9,0,0,0,none,,,,,,,USDJPY,0.84,13533.93,-124.04,3437.25,2283.0,1.072,0.0,,,,,,,,215
EVT_373322,USER_0219,deposit,2024-01-01 09:55:07,9,0,0,0,none,,,,,,,,,,,,,,,203.97,crypto,0.0,,,,,256
EVT_570427,USER_0084,trade,2024-01-01 09:55:49,9,0,0,1,structurer,,,,,,,ETHUSD,1.39,1599.75,-443.33,4083.47,1812.0,0.733,0.0,,,,,,,,334
EVT_805383,USER_0487,session,2024-01-01 09:58:16,9,0,0,0,none,,,ios_app,,,,,,,,,,,,,,,37.7,48.0,1.27,,152
EVT_117743,USER_0072,session,2024-01-01 10:02:09,10,0,0,1,consistent_winner,,,firefox_linux,,,,,,,,,,,,,,,11.4,43.0,3.77,,189
EVT_821688,USER_0029,login,2024-01-01 10:11:21,10,0,0,1,kyc_manipulator,10.133.104.1,JP,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,211
EVT_110114,USER_0074,trade,2024-01-01 10:16:49,10,0,0,1,bot_trader,,,,,,,BTCUSD,1.38,2976.73,63.0,3702.07,1088.0,1.194,0.0,,,,,,,,250
EVT_403660,USER_0030,session,2024-01-01 10:17:49,10,0,0,1,structurer,,,firefox_linux,,,,,,,,,,,,,,,46.7,53.0,1.13,,282
EVT_980184,USER_0550,trade,2024-01-01 10:23:24,10,0,0,0,none,,,,,,,XAUUSD,1.53,2352.82,238.0,3469.03,195.0,0.879,0.0,,,,,,,,168
EVT_985049,USER_0042,withdrawal,2024-01-01 10:37:49,10,0,0,1,deposit_withdrawal_cycler,,,,,,,USDCHF,0.23,6747.34,-378.72,476.62,1832.0,0.673,1.0,11331.94,crypto,1.0,,,,,60
EVT_714715,USER_0423,withdrawal,2024-01-01 10:43:27,10,0,0,0,none,,,,,,,,,,,,,,,507.51,crypto,0.0,,,,,350
EVT_421140,USER_0012,trade,2024-01-01 10:51:39,10,0,0,1,device_switcher,,,,,,,ETHUSD,0.05,15031.37,3.92,4850.25,2513.0,1.057,0.0,,,,,,,,364
EVT_361487,USER_0419,trade,2024-01-01 10:55:08,10,0,0,0,none,,,,,,,AUDUSD,0.67,22846.83,49.05,3004.03,1812.0,1.281,0.0,,,,,,,,149
EVT_687535,USER_0469,login,2024-01-01 11:01:33,11,0,0,0,none,10.81.53.1,RU,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,128
EVT_193319,USER_0199,session,2024-01-01 11:06:23,11,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,13.7,39.0,2.85,,89
EVT_387211,USER_0524,withdrawal,2024-01-01 11:06:32,11,0,0,0,none,,,,,,,,,,,,,,,73.5,bank,0.0,,,,,64
EVT_892269,USER_0319,login,2024-01-01 11:22:59,11,0,0,0,none,10.234.88.1,JP,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,243
EVT_877725,USER_0559,login,2024-01-01 11:41:05,11,0,0,0,none,10.54.37.1,DE,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,166
EVT_975980,USER_0017,session,2024-01-01 11:45:38,11,0,0,1,bot_trader,,,firefox_linux,,,,,,,,,,,,,,,58.5,59.0,1.01,,278
EVT_609057,USER_0286,login,2024-01-01 11:47:00,11,0,0,0,none,10.143.16.1,UK,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,137
EVT_585702,USER_0114,withdrawal,2024-01-01 12:05:46,12,0,0,0,none,,,,,,,,,,,,,,,378.77,crypto,0.0,,,,,37
EVT_386590,USER_0417,deposit,2024-01-01 12:19:06,12,0,0,0,none,,,,,,,,,,,,,,,1188.76,crypto,0.0,,,,,298
EVT_678995,USER_0007,session,2024-01-01 12:27:23,12,0,0,1,consistent_winner,,,safari_mac,,,,,,,,,,,,,,,42.6,51.0,1.2,,209
EVT_749758,USER_0080,kyc_change,2024-01-01 12:29:31,12,0,0,1,kyc_manipulator,,,,,,,ETHUSD,0.94,10455.72,246.76,1184.07,1408.0,0.896,0.0,,,,,,,address_update,272
EVT_104324,USER_0482,deposit,2024-01-01 12:30:44,12,0,0,0,none,,,,,,,,,,,,,,,1160.96,card,0.0,,,,,4
EVT_603871,USER_0213,trade,2024-01-01 12:58:42,12,0,0,0,none,,,,,,,EURUSD,1.67,12494.49,63.96,3557.54,2103.0,0.905,0.0,,,,,,,,252
EVT_296790,USER_0068,trade,2024-01-01 13:03:16,13,0,0,1,structurer,,,,,,,AUDUSD,0.27,17222.03,-148.1,4674.61,2608.0,1.073,0.0,,,,,,,,173
EVT_238661,USER_0080,withdrawal,2024-01-01 13:04:31,13,0,0,1,kyc_manipulator,,,,,,,,,,,,,,,34252.17,crypto,0.0,,,,,272
EVT_893861,USER_0011,session,2024-01-01 13:14:04,13,0,0,1,dormant_withdrawer,,,ios_app,,,,,,,,,,,,,,,20.8,9.0,0.43,,101
EVT_523680,USER_0542,trade,2024-01-01 13:17:32,13,0,0,0,none,,,,,,,GBPUSD,0.39,26552.9,63.75,4042.66,3471.0,0.935,0.0,,,,,,,,329
EVT_969110,USER_0157,session,2024-01-01 13:19:56,13,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,59.8,59.0,0.99,,186
EVT_968948,USER_0154,trade,2024-01-01 13:20:21,13,0,0,0,none,,,,,,,BTCUSD,0.59,21652.66,178.92,963.86,1269.0,0.9,0.0,,,,,,,,288
EVT_441701,USER_0034,trade,2024-01-01 13:22:36,13,0,0,1,device_switcher,,,,,,,ETHUSD,1.91,2671.24,-3.91,2906.56,928.0,0.845,0.0,,,,,,,,236
EVT_288641,USER_0160,session,2024-01-01 13:29:01,13,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,9.1,9.0,0.99,,325
EVT_843670,USER_0444,trade,2024-01-01 13:32:19,13,0,0,0,none,,,,,,,BTCUSD,0.19,4474.08,305.86,3416.67,286.0,1.152,0.0,,,,,,,,182
EVT_236804,USER_0213,login,2024-01-01 13:33:01,13,0,0,0,none,10.136.230.1,SG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,252
EVT_524618,USER_0432,trade,2024-01-01 13:42:53,13,0,0,0,none,,,,,,,USDJPY,1.64,10642.7,25.71,2251.59,2648.0,0.843,0.0,,,,,,,,215
EVT_690045,USER_0239,trade,2024-01-01 13:45:06,13,0,0,0,none,,,,,,,ETHUSD,0.24,32946.06,216.97,3504.62,1623.0,1.132,0.0,,,,,,,,1
EVT_932555,USER_0485,deposit,2024-01-01 13:54:58,13,0,0,0,none,,,,,,,,,,,,,,,2870.33,bank,0.0,,,,,325
EVT_552407,USER_0563,login,2024-01-01 14:15:31,14,0,0,0,none,10.47.204.1,JP,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,180
EVT_442601,USER_0031,session,2024-01-01 14:17:19,14,0,0,1,structurer,,,safari_mac,,,,,,,,,,,,,,,32.8,15.0,0.46,,195
EVT_886741,USER_0102,session,2024-01-01 14:22:47,14,0,0,0,none,,,android_app,,,,,,,,,,,,,,,10.3,28.0,2.72,,197
EVT_288085,USER_0080,kyc_change,2024-01-01 14:29:31,14,0,0,1,kyc_manipulator,10.50.106.1,JP,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,address_update,272
EVT_210967,USER_0180,deposit,2024-01-01 14:31:58,14,0,0,0,none,,,,,,,,,,,,,,,1563.07,crypto,0.0,,,,,142
EVT_161779,USER_0382,trade,2024-01-01 14:33:23,14,0,0,0,none,,,,,,,EURUSD,0.25,1453.74,-4.04,2903.52,2075.0,0.737,0.0,,,,,,,,186
EVT_889859,USER_0406,withdrawal,2024-01-01 14:41:26,14,0,0,0,none,,,,,,,,,,,,,,,314.52,bank,0.0,,,,,303
EVT_893969,USER_0266,deposit,2024-01-01 14:47:26,14,0,0,0,none,,,,,,,,,,,,,,,2002.83,crypto,0.0,,,,,271
EVT_455652,USER_0080,withdrawal,2024-01-01 14:49:31,14,0,0,1,kyc_manipulator,,,,,,,ETHUSD,0.61,9817.37,-447.27,4669.52,479.0,0.842,0.0,38012.48,crypto,,,,,,272
EVT_956046,USER_0315,kyc_change,2024-01-01 14:57:37,14,0,0,0,none,,,,,,,,,,,,,,,,,,,,,phone_update,135
EVT_640476,USER_0207,login,2024-01-01 15:03:11,15,0,0,0,none,10.47.86.1,BR,firefox_linux,1.0,0.0,0.0,,,,,,,,,,,,,,,,109
EVT_333508,USER_0564,trade,2024-01-01 15:07:01,15,0,0,0,none,,,,,,,XAUUSD,1.13,14441.44,199.46,1011.05,448.0,1.223,0.0,,,,,,,,171
EVT_841709,USER_0358,session,2024-01-01 15:15:43,15,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,28.7,51.0,1.78,,90
EVT_325724,USER_0390,session,2024-01-01 15:22:18,15,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,6.3,43.0,6.83,,280
EVT_667455,USER_0347,trade,2024-01-01 15:26:41,15,0,0,0,none,,,,,,,GBPUSD,1.25,4444.54,-339.76,2158.5,3163.0,1.026,0.0,,,,,,,,136
EVT_236079,USER_0489,trade,2024-01-01 15:40:26,15,0,0,0,none,,,,,,,ETHUSD,1.12,21283.64,-264.97,3291.55,605.0,1.383,0.0,,,,,,,,144
EVT_208688,USER_0238,login,2024-01-01 15:52:21,15,0,0,0,none,10.147.164.1,AE,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,157
EVT_437544,USER_0149,trade,2024-01-01 16:04:10,16,0,0,0,none,,,,,,,EURUSD,0.07,25397.03,181.24,4610.6,1519.0,1.332,0.0,,,,,,,,7
EVT_712439,USER_0054,trade,2024-01-01 16:05:28,16,0,0,1,device_switcher,,,,,,,USDCHF,0.36,9764.15,-133.71,2179.65,466.0,1.279,1.0,,,,,,,,340
EVT_841935,USER_0153,trade,2024-01-01 16:12:37,16,0,0,0,none,,,,,,,AUDUSD,0.06,21918.57,-189.26,4070.27,1959.0,1.372,0.0,,,,,,,,290
EVT_209351,USER_0272,trade,2024-01-01 16:21:30,16,0,0,0,none,,,,,,,USDJPY,1.68,11918.06,-14.17,1274.77,3405.0,0.63,0.0,,,,,,,,244
EVT_506872,USER_0500,session,2024-01-01 16:24:39,16,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,30.9,63.0,2.04,,157
EVT_537979,USER_0399,trade,2024-01-01 16:27:56,16,0,0,0,none,,,,,,,USDJPY,1.26,31345.79,-296.41,561.54,1943.0,1.478,0.0,,,,,,,,82
EVT_432731,USER_0080,kyc_change,2024-01-01 16:29:31,16,0,0,1,kyc_manipulator,10.50.106.1,JP,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,id_resubmit,272
EVT_555898,USER_0190,session,2024-01-01 16:37:29,16,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,43.5,11.0,0.25,,192
EVT_961010,USER_0214,login,2024-01-01 16:37:36,16,0,0,0,none,10.214.127.1,UK,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,172
EVT_127946,USER_0135,withdrawal,2024-01-01 16:52:34,16,0,0,0,none,,,,,,,,,,,,,,,1301.14,crypto,0.0,,,,,137
EVT_540416,USER_0016,trade,2024-01-01 16:54:24,16,0,0,1,deposit_withdrawal_cycler,,,,,,,GBPUSD,0.72,2611.39,17.65,2763.62,2374.0,0.905,0.0,,,,,,,,4
EVT_657942,USER_0537,trade,2024-01-01 16:59:24,16,0,0,0,none,,,,,,,AUDUSD,0.49,32932.79,-213.33,4699.98,98.0,1.111,0.0,,,,,,,,132
EVT_373055,USER_0080,withdrawal,2024-01-01 17:12:31,17,0,0,1,kyc_manipulator,,,,,,,GBPUSD,0.96,10476.26,6.89,2097.97,630.0,0.898,1.0,29692.29,crypto,,,,,,272
EVT_567383,USER_0206,kyc_change,2024-01-01 17:20:38,17,0,0,0,none,,,,,,,,,,,,,,,,,,,,,address_update,248
EVT_700162,USER_0242,login,2024-01-01 17:35:42,17,0,0,0,none,10.83.234.1,JP,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,234
EVT_147273,USER_0366,login,2024-01-01 17:41:08,17,0,0,0,none,10.91.114.1,DE,chrome_win,1.0,0.0,0.0,,,,,,,,,,,,,,,,29
EVT_920192,USER_0405,session,2024-01-01 17:43:16,17,0,0,0,none,,,chrome_win,,,,,,,,,,,,,,,52.7,49.0,0.93,,357
EVT_473551,USER_0007,session,2024-01-01 17:57:02,17,0,0,1,consistent_winner,,,safari_mac,,,,,,,,,,,,,,,49.8,51.0,1.02,,209
EVT_611987,USER_0159,session,2024-01-01 18:00:43,18,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,46.7,47.0,1.01,,112
EVT_823791,USER_0014,deposit,2024-01-01 18:10:52,18,0,0,1,device_switcher,,,,,,,,,,,,,,,245.41,card,0.0,,,,,24
EVT_368275,USER_0505,withdrawal,2024-01-01 18:14:13,18,0,0,0,none,,,,,,,,,,,,,,,382.32,crypto,0.0,,,,,283
EVT_234082,USER_0080,kyc_change,2024-01-01 18:29:31,18,0,0,1,kyc_manipulator,,,,,,,ETHUSD,1.43,11803.33,89.37,435.41,1538.0,1.012,1.0,,,,,,,address_update,272
EVT_670163,USER_0567,trade,2024-01-01 18:59:23,18,0,0,0,none,,,,,,,ETHUSD,1.42,18657.43,-195.46,774.22,1828.0,0.896,0.0,,,,,,,,28
EVT_723214,USER_0416,login,2024-01-01 19:01:00,19,0,0,0,none,10.31.198.1,DE,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,180
EVT_277357,USER_0358,session,2024-01-01 19:10:37,19,0,0,0,none,,,safari_mac,,,,,,,,,,,,,,,47.1,10.0,0.21,,90
EVT_867715,USER_0153,deposit,2024-01-01 19:14:05,19,0,0,0,none,,,,,,,,,,,,,,,506.92,card,0.0,,,,,290
EVT_461078,USER_0122,login,2024-01-01 19:18:17,19,0,0,0,none,10.183.31.1,RU,android_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,36
EVT_646513,USER_0255,withdrawal,2024-01-01 19:18:27,19,0,0,0,none,,,,,,,,,,,,,,,858.75,bank,0.0,,,,,28
EVT_550977,USER_0080,withdrawal,2024-01-01 19:26:31,19,0,0,1,kyc_manipulator,,,,,,,ETHUSD,1.88,12287.9,-181.4,3342.71,331.0,1.053,1.0,20639.99,crypto,,,,,,272
EVT_157192,USER_0467,login,2024-01-01 19:39:02,19,0,0,0,none,10.47.190.1,NG,safari_mac,1.0,0.0,0.0,,,,,,,,,,,,,,,,210
EVT_574076,USER_0537,deposit,2024-01-01 19:55:29,19,0,0,0,none,,,,,,,,,,,,,,,1372.56,card,0.0,,,,,133
EVT_605122,USER_0549,trade,2024-01-01 19:57:12,19,0,0,0,none,,,,,,,AUDUSD,1.26,13882.4,-274.75,497.46,2738.0,0.588,0.0,,,,,,,,312
EVT_659188,USER_0358,withdrawal,2024-01-01 20:05:33,20,0,0,0,none,,,,,,,,,,,,,,,336.84,bank,0.0,,,,,90
EVT_939888,USER_0248,session,2024-01-01 20:13:07,20,0,0,0,none,,,firefox_linux,,,,,,,,,,,,,,,22.1,6.0,0.27,,152
EVT_537321,USER_0462,deposit,2024-01-01 20:15:10,20,0,0,0,none,,,,,,,,,,,,,,,110.7,card,0.0,,,,,105
EVT_292950,USER_0090,trade,2024-01-01 20:17:00,20,0,0,0,none,,,,,,,XAUUSD,0.85,15294.59,65.53,2902.56,3419.0,1.404,1.0,,,,,,,,262
EVT_822742,USER_0042,deposit,2024-01-01 20:37:49,20,0,0,1,deposit_withdrawal_cycler,10.135.19.1,US,firefox_linux,1.0,0.0,0.0,,,,,,,,,16917.73,crypto,1.0,,,,,60
EVT_107282,USER_0029,trade,2024-01-01 20:39:39,20,0,0,1,kyc_manipulator,,,,,,,BTCUSD,0.6,2814.47,66.86,4569.13,2692.0,1.218,1.0,,,,,,,,212
EVT_134284,USER_0429,login,2024-01-01 20:46:10,20,0,0,0,none,10.29.127.1,IN,ios_app,1.0,0.0,0.0,,,,,,,,,,,,,,,,92
EVT_121496,USER_0305,trade,2024-01-01 21:03:46,21,0,0,0,none,,,,,,,AUDUSD,1.52,2589.97,-123.75,537.53,1637.0,1.21,0.0,,,,,,,,337
